1;1;1;0
1;1;2;94
1;2;3;22
1;3;4;70
1;4;5;71
1;5;6;81
1;6;7;35
1;7;8;96
1;8;9;32
1;9;10;21
1;10;11;33
1;11;12;75
1;12;13;10
1;13;14;28
1;14;15;21
2;16;16;0
2;16;17;76
2;17;18;43
2;18;4;47
2;4;19;16
2;19;20;80
2;20;21;19
2;21;22;24
2;22;23;84
2;23;24;100
3;25;25;0
3;25;26;85
3;26;27;90
3;27;8;53
3;8;28;89
3;28;29;39
3;29;21;66
3;21;30;87
3;30;31;11
3;31;32;36
3;32;33;49
3;33;34;72
4;35;35;0
4;35;36;29
4;36;37;42
4;37;38;57
4;38;11;11
4;11;39;18
4;39;40;13
4;40;21;11
4;21;41;65
4;41;42;30
5;43;43;0
5;43;44;28
5;44;45;85
5;45;46;44
5;46;47;21
5;47;48;68
5;48;49;97
5;49;50;41
