22;18;9;50.0
36;16;9;56.25
42;14;9;64.28571428571429
50;17;11;64.70588235294117
85;16;10;62.5
91;19;10;52.63157894736842
92;20;9;45.0
105;14;6;42.857142857142854
114;18;7;38.88888888888889
124;17;9;52.94117647058824
132;6;5;83.33333333333334
134;8;6;75.0
135;9;4;44.44444444444444
139;13;7;53.84615384615385
155;15;9;60.0
157;17;11;64.70588235294117
158;18;13;72.22222222222221
167;12;7;58.333333333333336
171;13;7;53.84615384615385
178;15;8;53.333333333333336
206;13;5;38.46153846153847
208;12;8;66.66666666666666
239;16;8;50.0
262;10;6;60.0
276;14;8;57.14285714285714
301;14;10;71.42857142857143
313;16;7;43.75
315;18;8;44.44444444444444
339;16;6;37.5
369;13;6;46.15384615384615
376;15;6;40.0
380;3;3;100.0
384;6;4;66.66666666666666
387;9;8;88.88888888888889
397;12;5;41.66666666666667
410;16;11;68.75
422;10;4;40.0
424;12;5;41.66666666666667
427;13;8;61.53846153846154
431;14;11;78.57142857142857
455;8;4;50.0
467;14;7;50.0
468;15;10;66.66666666666666
477;11;8;72.72727272727273
483;11;5;45.45454545454545
487;15;9;60.0
488;16;9;56.25
495;12;6;50.0
497;14;8;57.14285714285714
516;9;4;44.44444444444444
519;9;8;88.88888888888889
536;13;8;61.53846153846154
542;14;8;57.14285714285714
554;15;10;66.66666666666666
580;14;8;57.14285714285714
590;16;7;43.75
634;13;8;61.53846153846154
635;14;7;50.0
637;14;6;42.857142857142854
649;7;7;100.0
655;10;3;30.0
683;12;7;58.333333333333336
684;13;6;46.15384615384615
685;14;6;42.857142857142854
689;13;8;61.53846153846154
690;14;10;71.42857142857143
695;15;8;53.333333333333336
696;16;10;62.5
714;11;5;45.45454545454545
728;14;6;42.857142857142854
732;17;15;88.23529411764706
734;13;9;69.23076923076923
741;15;5;33.33333333333333
745;6;4;66.66666666666666
746;7;5;71.42857142857143
747;8;5;62.5
753;14;8;57.14285714285714
761;9;8;88.88888888888889
768;13;7;53.84615384615385
771;11;7;63.63636363636363
795;12;5;41.66666666666667
823;15;5;33.33333333333333
824;16;10;62.5
835;14;12;85.71428571428571
842;10;6;60.0
866;15;10;66.66666666666666
869;16;9;56.25
872;10;4;40.0
906;12;8;66.66666666666666
916;15;9;60.0
923;6;3;50.0
964;8;3;37.5
981;14;7;50.0
983;13;7;53.84615384615385
989;10;9;90.0
992;13;7;53.84615384615385
998;4;4;100.0
1002;8;4;50.0
1008;11;5;45.45454545454545
1013;10;5;50.0
1022;10;6;60.0
1029;12;9;75.0
1033;14;6;42.857142857142854
1035;12;9;75.0
1041;7;2;28.57142857142857
1044;9;6;66.66666666666666
1049;11;5;45.45454545454545
1070;18;11;61.111111111111114
1081;9;6;66.66666666666666
1088;13;6;46.15384615384615
1091;13;7;53.84615384615385
1095;8;5;62.5
1110;14;8;57.14285714285714
1112;12;5;41.66666666666667
1113;13;7;53.84615384615385
1125;8;5;62.5
1126;9;5;55.55555555555556
1128;11;4;36.36363636363637
1158;16;10;62.5
1184;12;6;50.0
1191;13;5;38.46153846153847
1199;16;10;62.5
1205;17;8;47.05882352941176
1207;19;13;68.42105263157895
1212;13;8;61.53846153846154
1213;14;7;50.0
1220;12;6;50.0
1241;15;9;60.0
1251;9;5;55.55555555555556
1266;13;8;61.53846153846154
1278;14;5;35.714285714285715
1280;16;8;50.0
1284;8;4;50.0
1290;14;10;71.42857142857143
1317;9;6;66.66666666666666
1364;13;9;69.23076923076923
1370;9;6;66.66666666666666
1380;7;6;85.71428571428571
1393;13;11;84.61538461538461
1402;11;8;72.72727272727273
1407;10;6;60.0
1410;13;7;53.84615384615385
1412;15;9;60.0
1418;15;10;66.66666666666666
1432;3;2;66.66666666666666
1448;15;7;46.666666666666664
1451;15;7;46.666666666666664
1463;15;8;53.333333333333336
1464;16;7;43.75
1487;15;9;60.0
1488;13;8;61.53846153846154
1494;12;10;83.33333333333334
1506;12;7;58.333333333333336
1508;14;8;57.14285714285714
1515;16;11;68.75
1522;8;5;62.5
1535;15;8;53.333333333333336
1536;16;8;50.0
1546;15;8;53.333333333333336
1547;10;7;70.0
1552;2;2;100.0
1556;6;6;100.0
1562;12;7;58.333333333333336
1569;15;6;40.0
1578;18;10;55.55555555555556
1630;15;10;66.66666666666666
1646;11;7;63.63636363636363
1666;14;7;50.0
1669;11;8;72.72727272727273
1670;12;7;58.333333333333336
1676;5;4;80.0
1677;6;4;66.66666666666666
1690;15;8;53.333333333333336
1697;16;6;37.5
1704;16;8;50.0
1707;17;13;76.47058823529412
1713;14;6;42.857142857142854
1746;14;7;50.0
1757;18;6;33.33333333333333
1758;17;12;70.58823529411765
1765;15;7;46.666666666666664
1774;18;8;44.44444444444444
1780;18;8;44.44444444444444
1781;16;7;43.75
1784;13;8;61.53846153846154
1793;9;4;44.44444444444444
1795;3;3;100.0
1815;19;12;63.1578947368421
1817;18;9;50.0
1824;20;11;55.00000000000001
1830;19;15;78.94736842105263
1840;17;13;76.47058823529412
1842;19;9;47.368421052631575
1843;17;8;47.05882352941176
1844;18;11;61.111111111111114
1846;17;10;58.82352941176471
1858;13;6;46.15384615384615
1871;14;10;71.42857142857143
1896;19;10;52.63157894736842
1902;19;4;21.052631578947366
1906;14;9;64.28571428571429
1926;12;7;58.333333333333336
1930;16;10;62.5
1940;19;10;52.63157894736842
1953;16;9;56.25
1961;13;9;69.23076923076923
1975;17;8;47.05882352941176
2046;16;9;56.25
2048;18;7;38.88888888888889
2052;20;10;50.0
2062;6;5;83.33333333333334
2064;8;5;62.5
2068;12;5;41.66666666666667
2071;15;9;60.0
2074;15;12;80.0
2080;17;12;70.58823529411765
2098;11;6;54.54545454545454
2101;11;5;45.45454545454545
2102;12;7;58.333333333333336
2106;14;8;57.14285714285714
2107;15;5;33.33333333333333
2144;14;10;71.42857142857143
2162;18;9;50.0
2164;15;8;53.333333333333336
2175;14;11;78.57142857142857
2185;16;8;50.0
